fen,engine_name,score
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,player,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1100,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1200,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1300,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1400,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1500,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1600,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1700,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1800,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1900,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_1950,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_2007,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_2050,0.25
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,dragon,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_full_test,1.0
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,player,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1100,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1200,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1300,0.5
