fen,engine_name,score
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,dragon,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_full_test,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_1350,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_1450,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_1550,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_1650,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_1750,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_1850,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_1950,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_2100,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_2300,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_2500,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,stockfish_elo_2700,1.0
6k1/2p2pp1/7p/q2Q4/8/1P5P/1PP3P1/5RK1 w - - 0 29,player,1.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,dragon,1.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_full_test,1.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_1350,1.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_1450,0.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_1550,0.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_1650,1.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_1750,0.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_1850,0.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_1950,0.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_2100,0.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_2300,0.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_2500,1.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,stockfish_elo_2700,1.0
r2qk2r/1bpn1ppp/p3pn2/bp4B1/3P4/PBN5/1PP1NPPP/R2Q1RK1 w kq - 3 12,player,1.0
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,dragon,1.0
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_full_test,1.0
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_1350,0.5
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_1450,0.5
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_1550,0.5
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_1650,0.25
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_1750,1.0
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_1850,0.5
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_1950,0.5
