engine_name,fen,score,move_rank
Desjardins373,8/4k3/8/1qPK4/8/8/8/8 w - - 1 56,1,0
Desjardins373,8/p1p3p1/1b3k1p/1p6/1Pp4P/P4R1K/2r5/8 b - - 1 34,1,0
Desjardins373,2kr4/Q1p2pp1/3b2qp/1N1P4/4r1n1/5N2/PPP2PPP/R4RK1 w - - 1 24,0,-1
Desjardins373,r5k1/pp3ppp/3n4/8/8/8/PqP1QPPP/R5K1 w - - 0 21,1,0
Desjardins373,3n4/8/P2K4/8/4k3/3p3P/8/8 w - - 0 65,1,0
Desjardins373,8/p1p4R/5k1p/1p4pP/1P6/P2r4/1bq5/6K1 b - - 9 48,1,0
Desjardins373,6k1/1R1R1pb1/3Bp1pp/4Pr2/7P/6PK/r7/8 b - - 4 44,0,1
Desjardins373,r3k1r1/1b3p2/p3pQ2/1p1pP3/8/2N4R/5PPP/R5K1 w - - 3 25,1,0
Desjardins373,5rk1/2RRBpb1/4p1pp/4P3/r4P2/7P/6PK/8 b - - 7 39,0,2
Desjardins373,4R1k1/1p1r3p/n1r5/p5pN/P5p1/8/5P1P/1R4K1 b - - 1 28,1,0
Desjardins373,r1b2r1k/2p3pp/q1P1pp2/1p1P4/p3QB2/5N2/1P3PPP/R3R1K1 w - - 1 24,0,1
Desjardins373,6k1/5pp1/1Np4p/p3p1q1/P3P1Q1/2P4P/1P3r1K/5B2 w - - 0 34,0,-1
Desjardins373,1r1r2k1/2q2npp/1p2bP2/p1pn4/6P1/P3PN1P/1B1Q1PB1/1RR3K1 b - - 0 24,1,0
Desjardins373,r1r4k/p5pp/6n1/R1p2b2/4RP2/2P3B1/6PP/6K1 w - - 1 29,0,-1
Desjardins373,b1r3k1/Pr3npp/1N2p3/3pPp2/3B1P2/8/4B1PP/R5K1 w - - 0 36,1,0
Desjardins373,4r1k1/2RR1pb1/3Bp1pp/4P3/r4P2/7P/6PK/8 b - - 9 40,1,0
Desjardins373,8/R7/3r2kp/8/Pr6/2K4P/6P1/3R4 b - - 2 43,0,-1
Desjardins373,7r/2pq2k1/1p1p2n1/p2Pp3/P3PpBp/5PnN/1PP2K1R/8 w - - 0 37,1,0
Desjardins373,r1bq1r1k/pp4p1/2p4p/4Pp2/2P5/P2nBR1P/BP4P1/R2Q2K1 b - - 0 21,0,-1
Desjardins373,4r1k1/2R1pp1p/p5p1/P2rP3/2pb1P2/5R1P/1P4PK/2B5 b - - 1 24,1,0
Desjardins373,6k1/r2nRp2/p7/2pN2p1/1p1b4/7P/P1P2PP1/3R2K1 w - - 1 23,0,1
Desjardins373,2k4r/pp4N1/8/2p4p/1b2P3/5PP1/PPbpK2P/R7 b - - 1 25,0,-1
Desjardins373,1r3rk1/p3nppp/4p3/4P3/1BB2P2/P7/1b4PP/1K1R3R w - - 0 23,0,1
Desjardins373,8/6n1/4K3/2N5/2Pk4/p4BP1/P4P2/8 w - - 5 56,0,1
Desjardins373,4rr1k/1p3ppp/3p4/p3q3/P1B1P3/4NQ1P/2P5/6RK w - - 3 28,1,0
Desjardins373,8/8/8/8/3K4/4r3/R3k3/8 b - - 26 58,1,0
Desjardins373,r1bq4/5p1k/p1p4p/3p4/2pP1Q2/2N3Pp/PPP2P1K/4R3 b - - 0 23,0,-1
Desjardins373,2QQ4/6pk/2p4p/p7/8/5PN1/P1q3KP/5R2 w - - 1 39,0,1
Desjardins373,8/7p/N7/6p1/ppk3p1/2n5/5P1P/4K3 b - - 3 51,1,0
Desjardins373,3r2k1/p1p2ppp/1b6/1p2PP2/1Pp5/P4R2/2P2P1P/5K2 b - - 0 26,1,0
Desjardins373,8/7P/8/8/6K1/8/8/Bk6 b - - 0 53,0,2
Desjardins373,6k1/pp3p2/8/3p2Pp/6qP/P7/5R2/5K2 b - - 9 41,1,0
Desjardins373,6k1/p4pp1/6p1/8/P2R4/1P4PP/2r2rP1/3R2K1 b - - 2 29,1,0
Desjardins373,4r3/pp3p1k/4r2p/3pP2q/4bQPP/P3R3/1P6/4R1K1 b - - 0 28,0,-1
Desjardins373,1k1r4/p1p2pp1/3b2qp/1N1P4/3Qr1n1/5N2/PPP2PPP/R4RK1 w - - 5 23,1,0
Desjardins373,7r/2p1q1k1/1p1p2n1/pQ1Pp3/P3PpBp/5PnN/1PP2K1R/8 w - - 4 36,0,-1
Desjardins373,2k5/1pp3p1/p4p2/3P2p1/2PrNb2/PPN1r3/4K1R1/3R4 w - - 10 34,1,0
Desjardins373,r3k2r/p1p1b3/1pn1pp2/2N3p1/5nP1/BP3NKP/P4P2/3R3R w kq - 0 24,1,0
Desjardins373,8/ppn1r1p1/2p4p/5k2/3P1pRP/P2KpP2/1P6/4R3 b - - 3 27,1,0
Desjardins373,3r2k1/p4pp1/5bp1/8/P2p4/1P1R3P/2r1NPP1/4RK2 b - - 0 24,0,-1
Desjardins373,r1b1r3/2p1P1pk/1qP3Np/1p1Q1p2/p4B2/8/1P3PPP/R3R1K1 w - - 2 29,0,1
Desjardins373,3rr2k/2RbPQp1/7p/1p3p2/p4B2/8/1P3PPP/4R1K1 w - - 1 34,0,-1
Desjardins373,r4rk1/1p3ppp/3p4/p2N3b/P1B1PR2/5n1P/1qP1Q2K/6R1 w - - 0 24,1,0
Desjardins373,8/pQ6/1b3Pp1/6k1/8/1P3P2/5qKP/8 w - - 0 42,1,0
