Raw Hit Count Data (Combined) - 2025-08-30 10:59:02
================================================================================

         engine_name  Total Moves  Top 1 Hits  Top 2 Hits  Top 3 Hits  Top 1 %  Top 2 %  Top 3 %
           maia_1100          502         222          72          46    44.22    14.34     9.16
           maia_1200          502         228          77          40    45.42    15.34     7.97
           maia_1300          502         225          78          40    44.82    15.54     7.97
           maia_1400          502         236          82          32    47.01    16.33     6.37
           maia_1500          502         238          77          38    47.41    15.34     7.57
   stockfish_nodes_5          519           9           3           1     1.73     0.58     0.19
           maia_1600          502         235          84          36    46.81    16.73     7.17
  stockfish_nodes_10          519           9           2           1     1.73     0.39     0.19
           maia_1700          502         236          89          34    47.01    17.73     6.77
  stockfish_nodes_15          519           9           2           1     1.73     0.39     0.19
           maia_1800          502         227          88          45    45.22    17.53     8.96
  stockfish_nodes_20          519           8           4           1     1.54     0.77     0.19
           maia_1900          502         236          82          42    47.01    16.33     8.37
  stockfish_nodes_30          519           9           3           1     1.73     0.58     0.19
  stockfish_nodes_40          519           8           3           1     1.54     0.58     0.19
  stockfish_nodes_50          519         237          78          56    45.66    15.03    10.79
 stockfish_nodes_200          519         244          78          50    47.01    15.03     9.63
 stockfish_nodes_500          519         236          89          57    45.47    17.15    10.98
  stockfish_nodes_2k          519         260          92          53    50.10    17.73    10.21
  stockfish_nodes_5k          519         288          81          58    55.49    15.61    11.18
 stockfish_nodes_10k          519         314          77          53    60.50    14.84    10.21
 stockfish_nodes_20k          519         317          82          47    61.08    15.80     9.06
 stockfish_nodes_50k          519         344          78          44    66.28    15.03     8.48
stockfish_nodes_100k          519         342          95          40    65.90    18.30     7.71
stockfish_nodes_250k          519         354          86          42    68.21    16.57     8.09
              dragon          519         355          81          38    68.40    15.61     7.32
  stockfish_nodes_1M          519         372          83          33    71.68    15.99     6.36
    stockfish_full_1          519         387          82          26    74.57    15.80     5.01
       Desjardins373          502         234          80          39    46.61    15.94     7.77
