fen,engine_name,score
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,player,0.25
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1100,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1200,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1300,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1400,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1500,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1600,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1700,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1800,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1900,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_1950,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_2007,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_2050,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_2500,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_3150,1.0
