engine_name,path,rating,uci_options,executable_name
maia_1100,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1100.bat",1100,"{}",m1100.bat
maia_1200,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1200.bat",1200,"{}",m1200.bat
maia_1300,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1300.bat",1300,"{}",m1300.bat
maia_1400,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1400.bat",1400,"{}",m1400.bat
maia_1500,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1500.bat",1500,"{}",m1500.bat
maia_1600,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1600.bat",1600,"{}",m1600.bat
maia_1700,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1700.bat",1700,"{}",m1700.bat
maia_1800,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1800.bat",1800,"{}",m1800.bat
maia_1900,"C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/m1900.bat",1900,"{}",m1900.bat
stockfish_elo_1950,C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/stockfish.exe,1950,"{""UCI_LimitStrength"": true, ""UCI_Elo"": 1950}",stockfish.exe
stockfish_elo_2007,C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/stockfish.exe,2007,"{""UCI_LimitStrength"": true, ""UCI_Elo"": 2007}",stockfish.exe
stockfish_elo_2050,C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/stockfish.exe,2050,"{""UCI_LimitStrength"": true, ""UCI_Elo"": 2050}",stockfish.exe
stockfish_elo_2500,C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/stockfish.exe,2500,"{""UCI_LimitStrength"": true, ""UCI_Elo"": 2500}",stockfish.exe
stockfish_elo_3150,C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/stockfish.exe,3150,"{""UCI_LimitStrength"": true, ""UCI_Elo"": 3150}",stockfish.exe
stockfish_full_1,C:/Users/desja/Documents/Python_programs/chess_study/engines/leela_chess/stockfish.exe,3644,"{""UCI_LimitStrength"": false}",stockfish.exe
