fen,engine_name,score
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,player,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1100,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1200,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1300,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1400,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1500,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1600,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1700,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1800,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,maia_1900,1.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,stockfish_elo_1950,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,stockfish_elo_2007,1.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,stockfish_elo_2050,0.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,dragon,1.0
rnbqkb1r/pppp1ppp/5n2/8/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 5,stockfish_full_test,1.0
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,player,0.0
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1100,0.25
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1200,0.25
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1300,0.25
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1400,0.25
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1500,0.0
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1600,0.25
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1700,0.0
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1800,0.25
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,maia_1900,0.25
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,stockfish_elo_1950,0.5
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,stockfish_elo_2007,0.5
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,stockfish_elo_2050,0.5
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,dragon,1.0
rnbqk2r/pppp1ppp/5n2/8/1bB1P3/2N5/PP1B1PPP/R2QK1NR b KQkq - 2 6,stockfish_full_test,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,player,0.25
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1100,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1200,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1300,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1400,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1500,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1600,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1700,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1800,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,maia_1900,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,stockfish_elo_1950,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,stockfish_elo_2007,0.5
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,stockfish_elo_2050,1.0
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,dragon,0.5
rnbqk2r/ppp2ppp/3p1n2/8/1bB1P3/2N5/PP1BQPPP/R3K1NR b KQkq - 1 7,stockfish_full_test,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,player,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1100,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1200,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1300,0.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1400,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1500,0.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1600,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1700,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1800,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,maia_1900,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,stockfish_elo_1950,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,stockfish_elo_2007,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,stockfish_elo_2050,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,dragon,1.0
r1bqk2r/ppp2ppp/2np1n2/8/PbB1P3/2N5/1P1BQPPP/R3K1NR b KQkq - 0 8,stockfish_full_test,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,player,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1100,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1200,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1300,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1400,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1500,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1600,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1700,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1800,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,maia_1900,0.5
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,stockfish_elo_1950,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,stockfish_elo_2007,0.25
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,stockfish_elo_2050,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,dragon,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/PbB1P3/2N2N2/1P1BQPPP/R3K2R b KQ - 2 9,stockfish_full_test,0.5
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,player,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1100,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1200,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1300,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1400,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1500,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1600,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1700,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1800,0.0
