timestamp,items_completed,total_items,overall_r_squared,overall_rating,instantaneous_r_squared,instantaneous_rating
2025-07-09 20:21:20,1,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:23,2,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:27,3,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:30,4,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:34,5,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:38,6,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:41,7,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:44,8,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:48,9,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:51,10,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:51,11,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:51,12,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:51,13,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:51,14,5317,N/A,N/A,N/A,N/A
2025-07-09 20:21:55,15,5317,0.2570,-46.73,N/A,N/A
2025-07-09 20:21:58,16,5317,0.4629,8.60,N/A,N/A
2025-07-09 20:22:02,17,5317,0.6177,65.11,N/A,N/A
2025-07-09 20:22:05,18,5317,0.7217,123.25,N/A,N/A
2025-07-09 20:22:08,19,5317,0.7747,183.71,N/A,N/A
2025-07-09 20:22:11,20,5317,0.7771,247.67,N/A,N/A
2025-07-09 20:22:14,21,5317,0.7290,317.20,N/A,N/A
2025-07-09 20:22:17,22,5317,0.6309,396.50,N/A,N/A
2025-07-09 20:22:20,23,5317,0.4841,495.33,N/A,N/A
2025-07-09 20:22:20,24,5317,0.3322,578.00,N/A,N/A
2025-07-09 20:22:20,25,5317,0.1676,661.00,N/A,N/A
2025-07-09 20:22:20,26,5317,N/A,N/A,N/A,N/A
2025-07-09 20:22:20,27,5317,N/A,N/A,N/A,N/A
2025-07-09 20:22:24,28,5317,0.2570,5113.55,N/A,N/A
2025-07-09 20:22:28,29,5317,0.4629,5144.90,N/A,N/A
2025-07-09 20:22:31,30,5317,0.6177,5172.11,N/A,N/A
2025-07-09 20:22:35,31,5317,0.7217,5193.62,N/A,N/A
2025-07-09 20:22:39,32,5317,0.7747,5207.00,N/A,N/A
2025-07-09 20:22:43,33,5317,0.7771,5208.17,N/A,N/A
2025-07-09 20:22:46,34,5317,0.7290,5189.80,N/A,N/A
2025-07-09 20:22:51,35,5317,0.6309,5137.25,N/A,N/A
2025-07-09 20:22:54,36,5317,0.4841,5016.33,N/A,N/A
2025-07-09 20:22:54,37,5317,0.3322,4929.50,N/A,N/A
2025-07-09 20:22:54,38,5317,0.1676,4828.00,N/A,N/A
2025-07-09 20:22:54,39,5317,N/A,N/A,N/A,N/A
2025-07-09 20:22:54,40,5317,N/A,N/A,N/A,N/A
2025-07-09 20:22:59,41,5317,0.2570,-1910.16,N/A,N/A
2025-07-09 20:23:04,42,5317,0.4629,-1846.18,N/A,N/A
2025-07-09 20:23:08,43,5317,0.6177,-1779.08,N/A,N/A
2025-07-09 20:23:12,44,5317,0.7217,-1707.72,N/A,N/A
2025-07-09 20:23:16,45,5317,0.7747,-1630.25,N/A,N/A
2025-07-09 20:23:20,46,5317,0.7771,-1543.62,N/A,N/A
2025-07-09 20:23:25,47,5317,0.7290,-1442.35,N/A,N/A
2025-07-09 20:23:29,48,5317,0.6309,-1315.44,N/A,N/A
2025-07-09 20:23:34,49,5317,0.5690,-808.96,N/A,N/A
2025-07-09 20:23:34,50,5317,0.3914,-463.73,N/A,N/A
2025-07-09 20:23:34,51,5317,0.4058,-261.36,N/A,N/A
2025-07-09 20:23:34,52,5317,0.4422,-174.83,0.4422,1505.56
2025-07-09 20:23:34,53,5317,0.4422,-30.80,N/A,N/A
2025-07-09 20:23:38,54,5317,0.5933,56.86,N/A,N/A
2025-07-09 20:23:41,55,5317,0.7021,142.20,N/A,N/A
2025-07-09 20:23:44,56,5317,0.7702,228.78,N/A,N/A
2025-07-09 20:23:47,57,5317,0.7992,318.19,N/A,N/A
2025-07-09 20:23:51,58,5317,0.7913,411.57,N/A,N/A
2025-07-09 20:23:54,59,5317,0.7494,510.01,N/A,N/A
2025-07-09 20:23:58,60,5317,0.6770,614.77,N/A,N/A
2025-07-09 20:24:01,61,5317,0.5787,727.36,N/A,N/A
2025-07-09 20:24:04,62,5317,0.5765,632.77,N/A,N/A
2025-07-09 20:24:05,63,5317,0.6081,632.86,N/A,N/A
2025-07-09 20:24:05,64,5317,0.5968,680.67,N/A,N/A
2025-07-09 20:24:05,65,5317,0.5938,716.06,0.4841,1667.44
2025-07-09 20:24:05,66,5317,0.5938,569.70,N/A,N/A
2025-07-09 20:24:09,67,5317,0.4883,638.24,N/A,N/A
2025-07-09 20:24:13,68,5317,0.4134,685.52,N/A,N/A
2025-07-09 20:24:16,69,5317,0.3648,708.35,N/A,N/A
2025-07-09 20:24:21,70,5317,0.3397,701.93,N/A,N/A
2025-07-09 20:24:25,71,5317,0.3381,658.98,N/A,N/A
2025-07-09 20:24:29,72,5317,0.3628,568.30,N/A,N/A
2025-07-09 20:24:34,73,5317,0.4219,412.00,N/A,N/A
2025-07-09 20:24:39,74,5317,0.2980,722.21,N/A,N/A
2025-07-09 20:24:43,75,5317,0.3296,680.95,N/A,N/A
2025-07-09 20:24:43,76,5317,0.3505,670.47,N/A,N/A
2025-07-09 20:24:43,77,5317,0.3534,690.00,N/A,N/A
2025-07-09 20:24:43,78,5317,0.3593,703.78,0.0283,1863.42
2025-07-09 20:24:43,79,5317,0.3593,907.30,N/A,N/A
2025-07-09 20:24:48,80,5317,0.4022,882.51,N/A,N/A
