timestamp,items_completed,total_items,overall_r_squared,overall_rating,instantaneous_r_squared,instantaneous_rating
2025-07-10 22:17:47,1,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:47,2,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:47,3,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:47,4,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:47,5,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:47,6,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:47,7,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:47,8,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:48,9,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:48,10,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:48,11,38535,N/A,N/A,N/A,N/A
2025-07-10 22:17:48,12,38535,0.1988,1545.00,N/A,N/A
2025-07-10 22:17:48,13,38535,0.1353,1590.91,N/A,N/A
2025-07-10 22:17:51,14,38535,0.5223,1590.91,N/A,N/A
2025-07-10 22:17:51,15,38535,0.6564,1590.91,0.6564,1590.91
2025-07-10 22:17:51,16,38535,0.6564,1590.91,N/A,N/A
2025-07-10 22:17:51,17,38535,0.6297,1581.64,N/A,N/A
2025-07-10 22:17:51,18,38535,0.6083,1571.24,N/A,N/A
2025-07-10 22:17:51,19,38535,0.5921,1559.47,N/A,N/A
2025-07-10 22:17:51,20,38535,0.5811,1546.06,N/A,N/A
2025-07-10 22:17:51,21,38535,0.5751,1530.69,N/A,N/A
2025-07-10 22:17:51,22,38535,0.5745,1513.04,N/A,N/A
2025-07-10 22:17:51,23,38535,0.5793,1492.70,N/A,N/A
2025-07-10 22:17:51,24,38535,0.5898,1469.23,N/A,N/A
2025-07-10 22:17:51,25,38535,0.6067,1442.09,N/A,N/A
2025-07-10 22:17:51,26,38535,0.6347,1364.05,N/A,N/A
2025-07-10 22:17:52,27,38535,0.7341,1307.79,N/A,N/A
2025-07-10 22:17:52,28,38535,0.8083,1186.82,N/A,N/A
2025-07-10 22:17:58,29,38535,0.6710,1213.36,N/A,N/A
2025-07-10 22:17:58,30,38535,0.6710,1213.36,0.2002,1434.77
2025-07-10 22:17:58,31,38535,0.6710,1394.64,N/A,N/A
2025-07-10 22:17:58,32,38535,0.5672,1386.48,N/A,N/A
2025-07-10 22:17:58,33,38535,0.4886,1373.30,N/A,N/A
2025-07-10 22:17:58,34,38535,0.4315,1352.06,N/A,N/A
2025-07-10 22:17:58,35,38535,0.3936,1318.44,N/A,N/A
2025-07-10 22:17:58,36,38535,0.3743,1265.68,N/A,N/A
2025-07-10 22:17:58,37,38535,0.3756,1182.36,N/A,N/A
2025-07-10 22:17:58,38,38535,0.4037,1047.18,N/A,N/A
2025-07-10 22:17:58,39,38535,0.4747,814.91,N/A,N/A
2025-07-10 22:17:58,40,38535,0.6333,368.88,N/A,N/A
2025-07-10 22:17:58,41,38535,0.6036,406.89,N/A,N/A
2025-07-10 22:17:58,42,38535,0.5507,527.87,N/A,N/A
2025-07-10 22:17:59,43,38535,0.5482,519.29,N/A,N/A
2025-07-10 22:18:02,44,38535,0.6710,397.61,N/A,N/A
2025-07-10 22:18:02,45,38535,0.6073,296.24,0.3990,4576.31
2025-07-10 22:18:02,46,38535,0.6073,1115.04,N/A,N/A
2025-07-10 22:18:02,47,38535,0.5277,1118.87,N/A,N/A
2025-07-10 22:18:02,48,38535,0.4667,1113.11,N/A,N/A
2025-07-10 22:18:02,49,38535,0.4225,1094.66,N/A,N/A
2025-07-10 22:18:02,50,38535,0.3939,1058.86,N/A,N/A
2025-07-10 22:18:02,51,38535,0.3811,998.46,N/A,N/A
2025-07-10 22:18:02,52,38535,0.3862,901.37,N/A,N/A
2025-07-10 22:18:02,53,38535,0.4148,746.06,N/A,N/A
2025-07-10 22:18:02,54,38535,0.4793,489.93,N/A,N/A
2025-07-10 22:18:02,55,38535,0.6103,35.29,N/A,N/A
2025-07-10 22:18:02,56,38535,0.6145,36.56,N/A,N/A
2025-07-10 22:18:02,57,38535,0.5464,236.62,N/A,N/A
2025-07-10 22:18:03,58,38535,0.5199,309.95,N/A,N/A
2025-07-10 22:18:09,59,38535,0.5968,256.67,N/A,N/A
2025-07-10 22:18:09,60,38535,0.6311,269.70,0.0002,1909.69
2025-07-10 22:18:09,61,38535,0.6311,953.49,N/A,N/A
2025-07-10 22:18:09,62,38535,0.5658,958.85,N/A,N/A
2025-07-10 22:18:09,63,38535,0.5151,954.45,N/A,N/A
2025-07-10 22:18:09,64,38535,0.5173,962.67,N/A,N/A
2025-07-10 22:18:09,65,38535,0.4898,937.18,N/A,N/A
2025-07-10 22:18:09,66,38535,0.4888,949.01,N/A,N/A
2025-07-10 22:18:09,67,38535,0.4866,961.83,N/A,N/A
2025-07-10 22:18:09,68,38535,0.4831,975.58,N/A,N/A
2025-07-10 22:18:09,69,38535,0.4784,990.22,N/A,N/A
2025-07-10 22:18:09,70,38535,0.4725,1005.69,N/A,N/A
2025-07-10 22:18:09,71,38535,0.4742,981.65,N/A,N/A
2025-07-10 22:18:09,72,38535,0.5739,818.72,N/A,N/A
2025-07-10 22:18:10,73,38535,0.5768,845.81,N/A,N/A
2025-07-10 22:18:12,74,38535,0.4157,956.54,N/A,N/A
2025-07-10 22:18:12,75,38535,0.2912,955.35,0.3375,1288.47
2025-07-10 22:18:12,76,38535,0.2912,545.11,N/A,N/A
2025-07-10 22:18:12,77,38535,0.3949,420.48,N/A,N/A
2025-07-10 22:18:12,78,38535,0.4986,324.92,N/A,N/A
2025-07-10 22:18:12,79,38535,0.4923,519.90,N/A,N/A
2025-07-10 22:18:12,80,38535,0.5759,462.25,N/A,N/A
2025-07-10 22:18:12,81,38535,0.5559,623.28,N/A,N/A
2025-07-10 22:18:12,82,38535,0.5349,754.38,N/A,N/A
2025-07-10 22:18:12,83,38535,0.5116,866.25,N/A,N/A
2025-07-10 22:18:12,84,38535,0.4851,965.06,N/A,N/A
2025-07-10 22:18:12,85,38535,0.4553,1054.58,N/A,N/A
2025-07-10 22:18:12,86,38535,0.4191,1109.56,N/A,N/A
2025-07-10 22:18:12,87,38535,0.3889,1159.51,N/A,N/A
2025-07-10 22:18:12,88,38535,0.3826,1161.96,N/A,N/A
2025-07-10 22:18:13,89,38535,0.4367,1123.01,N/A,N/A
