timestamp,items_completed,total_items,overall_r_squared,overall_rating,instantaneous_r_squared,instantaneous_rating
2025-07-11 08:43:23,1,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:23,2,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:23,3,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:23,4,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:23,5,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:23,6,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:24,7,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:24,8,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:24,9,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:24,10,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:24,11,38535,N/A,N/A,N/A,N/A
2025-07-11 08:43:24,12,38535,0.1988,1545.00,N/A,N/A
2025-07-11 08:43:24,13,38535,0.3322,1545.00,N/A,N/A
2025-07-11 08:43:24,14,38535,0.4895,1545.00,N/A,N/A
2025-07-11 08:43:24,15,38535,0.1982,1735.82,0.1982,1735.82
2025-07-11 08:43:24,16,38535,0.1982,1735.82,N/A,N/A
2025-07-11 08:43:24,17,38535,0.1810,1735.13,N/A,N/A
2025-07-11 08:43:24,18,38535,0.1669,1733.77,N/A,N/A
2025-07-11 08:43:24,19,38535,0.1556,1731.54,N/A,N/A
2025-07-11 08:43:24,20,38535,0.1470,1728.23,N/A,N/A
2025-07-11 08:43:24,21,38535,0.1408,1723.60,N/A,N/A
2025-07-11 08:43:24,22,38535,0.1371,1717.40,N/A,N/A
2025-07-11 08:43:24,23,38535,0.1358,1709.31,N/A,N/A
2025-07-11 08:43:24,24,38535,0.1369,1698.99,N/A,N/A
2025-07-11 08:43:25,25,38535,0.1406,1686.05,N/A,N/A
2025-07-11 08:43:25,26,38535,0.1460,1671.02,N/A,N/A
2025-07-11 08:43:25,27,38535,0.1761,1640.46,N/A,N/A
2025-07-11 08:43:25,28,38535,0.2273,1583.66,N/A,N/A
2025-07-11 08:43:25,29,38535,0.1119,1645.06,N/A,N/A
2025-07-11 08:43:25,30,38535,0.3026,1415.99,0.3990,-85.23
2025-07-11 08:43:25,31,38535,0.3026,1587.65,N/A,N/A
2025-07-11 08:43:25,32,38535,0.1902,1623.73,N/A,N/A
2025-07-11 08:43:25,33,38535,0.1164,1660.11,N/A,N/A
2025-07-11 08:43:25,34,38535,0.0687,1695.91,N/A,N/A
2025-07-11 08:43:25,35,38535,0.0389,1730.17,N/A,N/A
2025-07-11 08:43:25,36,38535,0.0210,1761.52,N/A,N/A
2025-07-11 08:43:25,37,38535,0.0111,1787.80,N/A,N/A
2025-07-11 08:43:25,38,38535,0.0062,1804.96,N/A,N/A
2025-07-11 08:43:25,39,38535,0.0045,1804.20,N/A,N/A
